protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Safety / Contraindication,14,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021428571428571432,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.0026617219094556576,0.03571428571428571,0.041666666666666664,0.16666666666666666,0.020833333333333332,0.017111324043483842
query,test,selected:minus_bm25,relevance_grade,1,query_intent,Treatment Change / Escalation,11,7,4,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.0,0.0,0.0,0.03636363636363637,0.0,0.0,0.0,0.0,0.03636363636363636,0.015873015873015872,0.14285714285714285,0.008403361344537815,0.0069145564282131556
query,test,selected:minus_bm25,relevance_grade,1,has_context,False,56,39,17,0.03571428571428571,0.0,0.0,0.0,0.0,0.047619047619047616,0.010256410256410256,0.05128205128205128,0.021367521367521364,0.00576290875324184,0.04285714285714286,0.018233618233618236,0.10256410256410256,0.0329059829059829,0.012015274665772428,0.04285714285714286,0.0218966218966219,0.1282051282051282,0.03611111111111111,0.012476478862028273,0.042857142857142864,0.05323565323565324,0.3076923076923077,0.048279993713430246,0.02549061310684438
query,test,selected:minus_bm25,relevance_grade,1,has_context,True,44,29,15,0.022727272727272728,0.006896551724137932,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.01515151515151515,0.006896551724137932,0.034482758620689655,0.034482758620689655,0.023225652352757878,0.009090909090909092,0.006896551724137932,0.034482758620689655,0.034482758620689655,0.018791142030567802,0.020454545454545454,0.011206896551724138,0.06896551724137931,0.03879310344827586,0.019341843115282767,0.03181818181818182,0.020443349753694582,0.10344827586206896,0.041666666666666664,0.025687257411033986
query,test,selected:minus_bm25,relevance_grade,1,multiple_entity_dimensions,True,100,68,32,0.03,0.0029411764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.03333333333333333,0.008823529411764707,0.04411764705882353,0.026960784313725488,0.013210255288329562,0.028000000000000008,0.013398692810457516,0.07352941176470588,0.03357843137254902,0.014904982806641043,0.033,0.017337768440709618,0.10294117647058823,0.03725490196078431,0.01540435479356328,0.038000000000000006,0.039250700280112044,0.22058823529411764,0.045459604237604596,0.02557447611892524
query,test,selected:minus_dense,relevance_grade,1,query_language,EN,50,34,16,0.0,0.0,0.0,0.0,0.0,0.04,0.0058823529411764705,0.029411764705882353,0.014705882352941176,0.0043100094227246765,0.044000000000000004,0.012826797385620915,0.08823529411764706,0.027941176470588233,0.008888675768593842,0.036000000000000004,0.012826797385620915,0.08823529411764706,0.027941176470588233,0.00843503778574198,0.035,0.016094771241830067,0.11764705882352941,0.030614973262032087,0.009565253350660143
query,test,selected:minus_dense,relevance_grade,1,query_language,ID,18,12,6,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.016666666666666666,0.08333333333333333,0.027777777777777776,0.0065177600836493965,0.03333333333333334,0.027083333333333334,0.16666666666666666,0.048611111111111105,0.007845052340677184,0.03333333333333333,0.027083333333333334,0.16666666666666666,0.048611111111111105,0.007595663120656348,0.058333333333333334,0.07569444444444444,0.4166666666666667,0.06252866643733516,0.025013287844643784
query,test,selected:minus_dense,relevance_grade,1,query_language,MIXED,32,22,10,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.030615632646817204,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.024770141767566648,0.028125000000000004,0.018181818181818184,0.09090909090909091,0.051948051948051945,0.028824847701529367,0.03125,0.03225108225108225,0.18181818181818182,0.05876623376623376,0.03677269406414358
query,test,selected:minus_dense,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query,test,selected:minus_dense,relevance_grade,1,query_intent,Dosing / Administration,19,14,5,0.05263157894736842,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.03508771929824561,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.048110279873569896,0.042105263157894736,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045,0.04736842105263158,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045,0.03421052631578948,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045
