slice_family,slice_name,split,system,system_label,global_queries,queries,eligible_queries,no_positive_queries,support_flag,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10
entity_count,Two or more recognized entities,test,hybrid,Hybrid without intent,500,139,110,29,adequate,0.031654676258992806,0.020631313131313132,0.06363636363636363,0.02090909090909091,0.011048473301497105
entity_count,Two or more recognized entities,test,hybrid_intent,Hybrid + predicted intent,500,139,110,29,adequate,0.0316546762589928,0.043459595959595955,0.1,0.027662337662337656,0.018512959544995215
entity_composition,Disease only,validation,bm25,BM25,0,0,0,0,empty,,,,,
entity_composition,Disease only,validation,bm25_structured,BM25 + structure,0,0,0,0,empty,,,,,
entity_composition,Disease only,validation,hybrid,Hybrid without intent,0,0,0,0,empty,,,,,
entity_composition,Disease only,validation,hybrid_intent,Hybrid + predicted intent,0,0,0,0,empty,,,,,
entity_composition,Disease only,test,bm25,BM25,0,0,0,0,empty,,,,,
entity_composition,Disease only,test,bm25_structured,BM25 + structure,0,0,0,0,empty,,,,,
entity_composition,Disease only,test,hybrid,Hybrid without intent,0,0,0,0,empty,,,,,
entity_composition,Disease only,test,hybrid_intent,Hybrid + predicted intent,0,0,0,0,empty,,,,,
entity_composition,Drug only,validation,bm25,BM25,0,0,0,0,empty,,,,,
entity_composition,Drug only,validation,bm25_structured,BM25 + structure,0,0,0,0,empty,,,,,
entity_composition,Drug only,validation,hybrid,Hybrid without intent,0,0,0,0,empty,,,,,
entity_composition,Drug only,validation,hybrid_intent,Hybrid + predicted intent,0,0,0,0,empty,,,,,
entity_composition,Drug only,test,bm25,BM25,0,0,0,0,empty,,,,,
entity_composition,Drug only,test,bm25_structured,BM25 + structure,0,0,0,0,empty,,,,,
entity_composition,Drug only,test,hybrid,Hybrid without intent,0,0,0,0,empty,,,,,
entity_composition,Drug only,test,hybrid_intent,Hybrid + predicted intent,0,0,0,0,empty,,,,,
entity_composition,Disease + drug,validation,bm25,BM25,500,139,113,26,adequate,0.038129496402877695,0.06253687315634218,0.11504424778761062,0.023507515100435455,0.02399589634478664
entity_composition,Disease + drug,validation,bm25_structured,BM25 + structure,500,139,113,26,adequate,0.03597122302158273,0.07028023598820059,0.11504424778761062,0.027784801236128667,0.02966193128906403
entity_composition,Disease + drug,validation,hybrid,Hybrid without intent,500,139,113,26,adequate,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.027269732282327
entity_composition,Disease + drug,validation,hybrid_intent,Hybrid + predicted intent,500,139,113,26,adequate,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533
entity_composition,Disease + drug,test,bm25,BM25,500,139,110,29,adequate,0.02877697841726619,0.016085858585858585,0.06363636363636363,0.02016233766233766,0.010211669509839696
entity_composition,Disease + drug,test,bm25_structured,BM25 + structure,500,139,110,29,adequate,0.033093525179856115,0.03154040404040404,0.08181818181818182,0.023888888888888883,0.01476862857167422
entity_composition,Disease + drug,test,hybrid,Hybrid without intent,500,139,110,29,adequate,0.031654676258992806,0.020631313131313132,0.06363636363636363,0.02090909090909091,0.011048473301497105
entity_composition,Disease + drug,test,hybrid_intent,Hybrid + predicted intent,500,139,110,29,adequate,0.0316546762589928,0.043459595959595955,0.1,0.027662337662337656,0.018512959544995215
entity_composition,Multiple molecules,validation,bm25,BM25,39,13,13,0,sparse,0.05384615384615384,0.09166666666666666,0.38461538461538464,0.07338217338217337,0.033381636674141645
entity_composition,Multiple molecules,validation,bm25_structured,BM25 + structure,39,13,13,0,sparse,0.061538461538461535,0.09166666666666666,0.38461538461538464,0.06813186813186813,0.033442358577045736
